,service_id,store_id,category,merchant_name,merchant_address,store_name,store_address,longitude,latitude,specific
0,2094705476432891136,7307965617398606368,Coffee chains and Milk tea,Công Ty TNHH Cây Đào Đỏ,"257 Thống Nhất, Phường 11, Gò Vấp, Tp. HCM",I Love Kem Kinh Dương Vương,"127 Kinh Dương Vương , P.12  Q.6, Tp. HCM",,,Cafe
20,3469740592050032385,8441805907250926137,Mass Merchant,Nguyễn Thị Hồng Quyên,"122 Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",Bánh Canh Ghẹ Tươi,"122 Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",106.7388299,10.706003,Mass Merchant
22,3232333568492323330,6837397147393907004,Coffee chains and Milk tea,CN HÀ NỘI – Công ty TNHH Gongcha Việt Nam,"Số 63 Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Gong Cha Hoàng Đạo Thúy,"Tòa nhà 34T phố Hoàng Đạo Thúy,, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội, VIỆT NAM",105.81246090000002,21.0204944,Cafe
30,5689251315330117634,6490941503921000601,Mass Merchant,BUBBLE BEAR,"483 Hậu Giang, Phường 11, Quận 6, Thành Phố Hồ Chí Minh, VIỆT NAM",bubblebear483,MOMOHEV520181102,,,Mass Merchant
32,8556496424374803715,780530919347839340,Fast food,CÔNG TY TNHH PIZZA HUT VIỆT NAM,"Tầng 5, Toà nhà S123 Shophouse Saigon Pearl, số 92 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",Pizza Hut Phan Xich Long,"93 Phan Xich Long, Phường 2, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM",106.710965,10.800326,Fast food
57,805375962505978627,8872648247928254135,Fast food,CôNG TY TNHH DịCH Vụ THựC PHẩM Và GIảI KHáT VIệT NAM,"Lầu 5, Tòa nhà Sài Gòn Royal, 91  Pasteur, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Domino's Pizza Giảng Võ,"C4 Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội, VIỆT NAM",,,Fast food
84,9072059382294699011,7967765642527772782,Mass Merchant,LA GARE COFFEE,"447 Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",lagarecoffee1,MOMOZ0IW20181114,106.666962,10.776023,Mass Merchant
86,7559692742087391493,7659625585733048513,Mass Merchant,THE KING COFFE,"30 Nguyễn Đình Chiểu, Đa Kao, Quận 1, Hồ Chí Minh",kingcoffee123,MOMO43WA20180423,106.6735416,10.7859882,Mass Merchant
88,1091190812284273157,6323339645647389900,Mass Merchant,CAFE BABA,"33 Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",CAFE BABA,"33 Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",105.83710259999998,21.0123495,Mass Merchant
90,6246455540529687045,604531271684439811,Mass Merchant,Cafe Bùi 1,"63B Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội, VIỆT NAM",cafebui631,MOMOJYIB20181017,105.8306606,21.0032249,Mass Merchant
91,7222321513225138182,7007379330806386509,Coffee chains and Milk tea,Effoc An Dương Vương,"435 An Dương Vương, Phường 3, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM",effocadvuong,MOMO0T0920181114,,,Cafe
93,7301990929868186374,5494680444014187358,Mass Merchant,ALIFOODCORNER,"008-009 Lô T chưng cư  Ngô Gia Tự, Phường 2, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",ALIFOODCORNER CC NGÔ GIA TỰ,"008-009 Lô T Chưng Cư Ngô Gia Tự, Phường 2, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6733813,10.7624208,Mass Merchant
95,6130594080009760775,8918389291500458238,Mass Merchant,BILUXURY NGUYỄN ÁI QUỐC,"1875 Nguyễn Ái Quốc, Phường Tân Tiến, Thành phố Biên Hòa, Đồng Nai, VIỆT NAM",biluxurynguyenaiquoc,MOMOLDIG20181228,,,Mass Merchant
111,9045274477408763399,2821745424997075775,Mass Merchant,thealleyhotungmau,"114 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",thealleyhotungmau,MOMO7JMY20181105,105.8427815,21.0433059,Mass Merchant
127,4545526623053894407,2593451281685614696,Restaurant,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ TRÚC ANH	,"42 Trần Văn Khéo , Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, VIỆT NAM",DON CHICKEN Trân Văn Khéo,"42 Trần Văn Khéo, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, VIỆT NAM",106.6733813,10.7624208,chicken
129,3552555863717876743,8117089422581323395,Mass Merchant,Bánh Cuốn Tây Sơn,"132 Phạm Văn Đồng, Phường 3, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM",Bánh Cuốn Tây Sơn,"44 Trương Công Định, phường 14, Tân Bình, Hồ Chí Minh, Việt Nam",106.682942,10.79524,Mass Merchant
133,4627806457648007688,6314189829115489867,Mass Merchant,VUA TÀO PHỚ,"50 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",VUA TÀO PHỚ,"110 Đào Tấn, Phường Phúc Xá, Quận Ba Đình, Hà Nội, VIỆT NAM",,,Mass Merchant
135,8421950360944077064,5279137210118216101,Restaurant,CÔNG TY LIÊN DOANH TNHH KFC VIỆT NAM,"Số 292 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",KFC Quang Trung Hà Đông,"484 Quang Trung, P.La Khê, Q.Hà Đông, Hà Nội",,,chicken
174,7006999597222169608,5412916634862308739,Coffee chains and Milk tea,My Life Coffee 160 Nguyễn Cư Trinh,"160 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",mlcnct,MOMOS0V620180507,106.690441,10.825447,Cafe
186,6813810437735499528,8211066546836965925,Mass Merchant,CƠM NIÊU THIÊN LÝ - Nguyễn Đình Chiểu,"16 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",comnieu2,MOMOYOJI20180809,106.68579640000002,10.771197099999998,Mass Merchant
