service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude
1058241667815469540,249887925492461203,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Nguyễn Trãi Cần Thơ,"41-41A-43 Nguyễn Trãi, Q. Ninh Kiều, Cần Thơ"," 105.785046",10.040508
1058241667815469540,6272474026035536581,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Hậu Giang,"Số 410 Hậu Giang, Phường 12, Quận 6, Tp. HCM"," 106.638935",10.749251
8073873840719601655,2217087971996193230,beverage,HỘ KINH DOANH - QUÁCH THỊ HƯƠNG DUYÊN,"444 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",Sharetea Hoàng Văn Thụ,"444 Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM"," 106.655742",10.795501
1058241667815469540,7296552596579579660,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Cách Mạng tháng 8 HCM,"Số 484 - 486 Cách Mạng Tháng Tám, Phường 11, Quận 3, Tp. HCM"," 106.668518",10.784919
1058241667815469540,4707467693322385152,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Vạnh Hạnh Mall,"TTTM,Số 11 Sư Vạn Hạnh, Đường 3/2, Phường 12, Quận 10, TPHCM"," 106.669971",10.769976
7310160001796817277,2602217615037686284,beverage,CÔNG TY TNHH CÀ PHÊ ĐEN ĐÁ,"96 Hàm Nghi , Phường Bến Nghé , Quận 1, Tp.HCM",Đen Đá Coffee Lê văn Sỹ,"110 Lê Văn Sỹ, P.10, Quận Phú Nhuận"," 106.672007"," 10.791683"
1058241667815469540,5148561421899046534,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Nguyễn Trãi,"Số 131, Nguyễn Trãi, Phường 2, Quận 5, Tp. HCM "," 106.679356",10.757695
1058241667815469540,468351869602724625,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Hai Bà Trưng,"Số 189A Hai Bà Trưng, Phường 6, Quận 3, Tp. HCM "," 106.694070",10.786008
2094705476432891136,2537927188160185009,beverage,Công Ty TNHH Cây Đào Đỏ,"257 Thống Nhất, Phường 11, Gò Vấp, Tp. HCM",I Love Kem Đinh Tiên Hoàng,"207 Đinh Tiên Hoàng ,P Tân Định Q.1, Tp. HCM"," 106.695814",10.792114
7310160001796817277,5006294098972627305,beverage,CÔNG TY TNHH CÀ PHÊ ĐEN ĐÁ,"96 Hàm Nghi , Phường Bến Nghé , Quận 1, Tp.HCM",Đen Đá Coffee Pasteur,"182 Pasteur, P.Bến Nghé, Quận 1"," 106.698217",10.778466
8203460032407458181,3699924941261806407,null,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3Sạch Tresor,"39-39B Bến Vân Đồn, Phường 12, Quận 4, Thành Phố Hồ Chí Minh, VIỆT NAM"," 106.703402",10.766887
1058241667815469540,8045406540451346235,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept VivoCity 1058,"VivoCity 1058, Đại Lộ Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp. HCM"," 106.703626",10.730283
4069843186865860424,6137354604427447771,food,CÔNG TY CỔ PHẦN THỰC PHẨM SUNDO,"34/6 Trần Khánh Dư, Phường Tân Định, Quận 1, TPHCM",Savoure XVNT,"220 XVNT, P.21 Quận Bình Thạnh, Tp.HCM."," 106.711187",10.798543
1058241667815469540,3305360375191824643,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Concept Crescent mall,"Crescent mall. Số 101 Tôn Dật Tiên, Phường Tân Phú, Quận 7, Tp. HCM "," 106.718753",10.728745
8203460032407458181,5560552259059895242,null,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3Sạch Vinhomes Park 1,"720A Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM"," 106.722098",10.791140
1058241667815469540,5220750119319614043,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Ninomaxx Hùng Vương Huế,"63 Hùng Vương , Phú Hội , Huế "," 107.593687",16.464870
1058241667815469540,2131897066458799865,other offline payment services,CÔNG TY CP TMDV TVTK THỜI TRANG VIỆT,"189A Hai Bà Trưng , P.6, Quận 3 TPHCM",Ninomaxx Bà Triệu Huế,"Big C Huế, Khu quy hoạch Bà Triệu, Hùng Vương, Huế"," 107.599350",16.459788
